q , F , sin2i , Teff , logg , a1c 
10.00 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00532675 
10.00 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00005078 
10.00 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00044641 
10.00 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00233555 
10.00 , 0.9 , 1.0 , 4935 , 4.5963 , -0.01156835 
0.05 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00002247 
0.05 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00017347 
0.05 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00068489 
0.05 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00195591 
0.05 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00002098 
0.05 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00015922 
0.05 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00061277 
0.05 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00153660 
0.05 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00001269 
0.05 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00009182 
0.05 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00032899 
0.05 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00042988 
0.05 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000024 
0.05 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00001074 
0.05 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00009307 
0.05 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00113262 
0.05 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00001683 
0.05 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00014007 
0.05 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00062046 
0.05 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00305721 
0.10 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00003185 
0.10 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00024549 
0.10 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00096555 
0.10 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00268840 
0.10 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00002986 
0.10 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00022597 
0.10 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00087099 
0.10 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00215166 
0.10 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00001808 
0.10 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00013088 
0.10 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00047689 
