q , F , sin2i , Teff , logg , a1c 
10.00 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00712809 
10.00 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00007839 
10.00 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00069107 
10.00 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00363601 
10.00 , 0.9 , 1.0 , 4935 , 4.5963 , -0.01671466 
0.05 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00003594 
0.05 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00027593 
0.05 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00110681 
0.05 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00304669 
0.05 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00003359 
0.05 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00025379 
0.05 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00102077 
0.05 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00250052 
0.05 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00002032 
0.05 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00014632 
0.05 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00059435 
0.05 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00085589 
0.05 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000043 
0.05 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00001839 
0.05 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00006207 
0.05 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00157406 
0.05 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00002705 
0.05 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00022730 
0.05 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00090043 
0.05 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00468145 
0.10 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00005098 
0.10 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00039074 
0.10 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00156995 
0.10 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00422340 
0.10 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00004779 
0.10 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00036023 
0.10 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00146329 
0.10 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00352591 
