q , F , sin2i , Teff , logg , a1c 
10.00 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00482956 
10.00 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00004087 
10.00 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00036259 
10.00 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00193014 
10.00 , 0.9 , 1.0 , 4935 , 4.5963 , -0.00990673 
0.05 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00001830 
0.05 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00014123 
0.05 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00055345 
0.05 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00156706 
0.05 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00001708 
0.05 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00012943 
0.05 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00049025 
0.05 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00119556 
0.05 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00001033 
0.05 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00007436 
0.05 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00025519 
0.05 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00026707 
0.05 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000021 
0.05 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00000922 
0.05 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00009136 
0.05 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00102482 
0.05 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00001372 
0.05 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00011446 
0.05 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00052210 
0.05 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00259981 
0.10 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00002594 
0.10 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00019984 
0.10 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00077941 
0.10 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00215194 
0.10 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00002431 
0.10 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00018368 
0.10 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00069595 
0.10 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00167608 
0.10 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00001472 
0.10 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00010602 
0.10 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00036921 
0.10 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00043099 
0.10 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000032 
0.10 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00001241 
0.10 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00011680 
0.10 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00131655 
0.10 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00001951 
0.10 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00016211 
0.10 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00072350 
0.10 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00345006 
1.00 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00004766 
1.00 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00036188 
1.00 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00136959 
1.00 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00345760 
1.00 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00004460 
1.00 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00033417 
1.00 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00123087 
1.00 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00266386 
1.00 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00002710 
1.00 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00019265 
1.00 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00064204 
1.00 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00047584 
1.00 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000061 
1.00 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00002660 
1.00 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00025680 
1.00 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00269297 
1.00 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00003625 
1.00 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00030706 
1.00 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00140017 
1.00 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00663885 
10.00 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00004203 
10.00 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00031655 
10.00 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00115119 
10.00 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00257719 
10.00 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00003946 
10.00 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00029290 
10.00 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00101901 
10.00 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00170522 
10.00 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00002380 
10.00 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00016787 
10.00 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00048424 
10.00 , 0.9 , 0.6 , 5778 , 4.4387 , -0.00045126 
10.00 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000082 
10.00 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00002798 
10.00 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00034145 
10.00 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00360268 
10.00 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00003255 
10.00 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00028087 
10.00 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00140758 
10.00 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00760180 
0.05 , 0.3 , 0.2 , 8550 , 4.1333 , 0.00001339 
0.05 , 0.5 , 0.2 , 8550 , 4.1333 , 0.00010083 
0.05 , 0.7 , 0.2 , 8550 , 4.1333 , 0.00036683 
0.05 , 0.9 , 0.2 , 8550 , 4.1333 , 0.00078925 
0.05 , 0.3 , 0.4 , 8550 , 4.1333 , 0.00001251 
0.05 , 0.5 , 0.4 , 8550 , 4.1333 , 0.00009100 
0.05 , 0.7 , 0.4 , 8550 , 4.1333 , 0.00030443 
0.05 , 0.9 , 0.4 , 8550 , 4.1333 , 0.00036832 
0.05 , 0.3 , 0.6 , 8550 , 4.1333 , 0.00000751 
0.05 , 0.5 , 0.6 , 8550 , 4.1333 , 0.00004952 
0.05 , 0.7 , 0.6 , 8550 , 4.1333 , 0.00011812 
0.05 , 0.9 , 0.6 , 8550 , 4.1333 , -0.00044183 
0.05 , 0.3 , 0.8 , 8550 , 4.1333 , -0.00000029 
0.05 , 0.5 , 0.8 , 8550 , 4.1333 , -0.00001291 
0.05 , 0.7 , 0.8 , 8550 , 4.1333 , -0.00015027 
0.05 , 0.9 , 0.8 , 8550 , 4.1333 , -0.00152093 
0.05 , 0.3 , 1.0 , 8550 , 4.1333 , -0.00001022 
0.05 , 0.5 , 1.0 , 8550 , 4.1333 , -0.00009132 
0.05 , 0.7 , 1.0 , 8550 , 4.1333 , -0.00048187 
0.05 , 0.9 , 1.0 , 8550 , 4.1333 , -0.00281961 
0.10 , 0.3 , 0.2 , 8550 , 4.1333 , 0.00001894 
0.10 , 0.5 , 0.2 , 8550 , 4.1333 , 0.00014282 
0.10 , 0.7 , 0.2 , 8550 , 4.1333 , 0.00051606 
0.10 , 0.9 , 0.2 , 8550 , 4.1333 , 0.00110373 
0.10 , 0.3 , 0.4 , 8550 , 4.1333 , 0.00001773 
0.10 , 0.5 , 0.4 , 8550 , 4.1333 , 0.00012932 
0.10 , 0.7 , 0.4 , 8550 , 4.1333 , 0.00043182 
0.10 , 0.9 , 0.4 , 8550 , 4.1333 , 0.00056129 
0.10 , 0.3 , 0.6 , 8550 , 4.1333 , 0.00001062 
0.10 , 0.5 , 0.6 , 8550 , 4.1333 , 0.00007094 
0.10 , 0.7 , 0.6 , 8550 , 4.1333 , 0.00017242 
0.10 , 0.9 , 0.6 , 8550 , 4.1333 , -0.00051623 
0.10 , 0.3 , 0.8 , 8550 , 4.1333 , -0.00000038 
0.10 , 0.5 , 0.8 , 8550 , 4.1333 , -0.00001741 
0.10 , 0.7 , 0.8 , 8550 , 4.1333 , -0.00020390 
0.10 , 0.9 , 0.8 , 8550 , 4.1333 , -0.00196117 
0.10 , 0.3 , 1.0 , 8550 , 4.1333 , -0.00001455 
0.10 , 0.5 , 1.0 , 8550 , 4.1333 , -0.00012893 
0.10 , 0.7 , 1.0 , 8550 , 4.1333 , -0.00067015 
0.10 , 0.9 , 1.0 , 8550 , 4.1333 , -0.00370013 
1.00 , 0.3 , 0.2 , 8550 , 4.1333 , 0.00003484 
1.00 , 0.5 , 0.2 , 8550 , 4.1333 , 0.00025558 
1.00 , 0.7 , 0.2 , 8550 , 4.1333 , 0.00087467 
1.00 , 0.9 , 0.2 , 8550 , 4.1333 , 0.00145378 
1.00 , 0.3 , 0.4 , 8550 , 4.1333 , 0.00003256 
1.00 , 0.5 , 0.4 , 8550 , 4.1333 , 0.00023143 
1.00 , 0.7 , 0.4 , 8550 , 4.1333 , 0.00071921 
1.00 , 0.9 , 0.4 , 8550 , 4.1333 , 0.00042537 
1.00 , 0.3 , 0.6 , 8550 , 4.1333 , 0.00001952 
1.00 , 0.5 , 0.6 , 8550 , 4.1333 , 0.00012419 
1.00 , 0.7 , 0.6 , 8550 , 4.1333 , 0.00024339 
1.00 , 0.9 , 0.6 , 8550 , 4.1333 , -0.00154189 
1.00 , 0.3 , 0.8 , 8550 , 4.1333 , -0.00000091 
1.00 , 0.5 , 0.8 , 8550 , 4.1333 , -0.00003982 
1.00 , 0.7 , 0.8 , 8550 , 4.1333 , -0.00045709 
1.00 , 0.9 , 0.8 , 8550 , 4.1333 , -0.00420491 
1.00 , 0.3 , 1.0 , 8550 , 4.1333 , -0.00002716 
1.00 , 0.5 , 1.0 , 8550 , 4.1333 , -0.00024902 
1.00 , 0.7 , 1.0 , 8550 , 4.1333 , -0.00133737 
1.00 , 0.9 , 1.0 , 8550 , 4.1333 , -0.00743965 
10.00 , 0.3 , 0.2 , 8550 , 4.1333 , 0.00003060 
10.00 , 0.5 , 0.2 , 8550 , 4.1333 , 0.00021906 
10.00 , 0.7 , 0.2 , 8550 , 4.1333 , 0.00068719 
10.00 , 0.9 , 0.2 , 8550 , 4.1333 , 0.00038893 
10.00 , 0.3 , 0.4 , 8550 , 4.1333 , 0.00002859 
10.00 , 0.5 , 0.4 , 8550 , 4.1333 , 0.00019607 
10.00 , 0.7 , 0.4 , 8550 , 4.1333 , 0.00052555 
10.00 , 0.9 , 0.4 , 8550 , 4.1333 , -0.00088756 
10.00 , 0.3 , 0.6 , 8550 , 4.1333 , 0.00001710 
10.00 , 0.5 , 0.6 , 8550 , 4.1333 , 0.00009979 
10.00 , 0.7 , 0.6 , 8550 , 4.1333 , 0.00008131 
10.00 , 0.9 , 0.6 , 8550 , 4.1333 , -0.00298986 
10.00 , 0.3 , 0.8 , 8550 , 4.1333 , -0.00000108 
10.00 , 0.5 , 0.8 , 8550 , 4.1333 , -0.00004818 
10.00 , 0.7 , 0.8 , 8550 , 4.1333 , -0.00057224 
10.00 , 0.9 , 0.8 , 8550 , 4.1333 , -0.00578725 
10.00 , 0.3 , 1.0 , 8550 , 4.1333 , -0.00002454 
