q , F , sin2i , Teff , logg , a1c 
10.00 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00636208 
10.00 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00006252 
10.00 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00055172 
10.00 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00290798 
10.00 , 0.9 , 1.0 , 4935 , 4.5963 , -0.01403873 
0.05 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00002729 
0.05 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00021032 
0.05 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00083508 
0.05 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00235470 
0.05 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00002550 
0.05 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00019319 
0.05 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00075502 
0.05 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00187942 
0.05 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00001542 
0.05 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00011141 
0.05 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00041715 
0.05 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00056836 
0.05 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000031 
0.05 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00001335 
0.05 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00009119 
0.05 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00131248 
0.05 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00002048 
0.05 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00017099 
0.05 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00073120 
0.05 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00366011 
0.10 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00003870 
0.10 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00029771 
0.10 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00117980 
0.10 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00324574 
0.10 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00003628 
0.10 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00027419 
0.10 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00107633 
0.10 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00263748 
0.10 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00002196 
0.10 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00015879 
0.10 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00060817 
0.10 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00087633 
0.10 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000047 
0.10 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00001794 
0.10 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00010262 
0.10 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00166647 
0.10 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00002912 
0.10 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00024204 
0.10 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00100079 
0.10 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00483631 
1.00 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00007108 
1.00 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00053918 
1.00 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00208453 
1.00 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00528278 
1.00 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00006657 
1.00 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00049877 
1.00 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00191692 
1.00 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00428637 
1.00 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00004045 
1.00 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00028846 
1.00 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00107587 
1.00 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00121152 
1.00 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000090 
1.00 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00003848 
1.00 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00023417 
1.00 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00336400 
1.00 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00005409 
1.00 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00045767 
1.00 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00191902 
1.00 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00916661 
10.00 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00006269 
10.00 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00047397 
10.00 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00175773 
10.00 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00399642 
10.00 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00005888 
10.00 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00044138 
10.00 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00159889 
10.00 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00291123 
10.00 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00003556 
10.00 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00025736 
10.00 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00083822 
10.00 , 0.9 , 0.6 , 5778 , 4.4387 , -0.00007860 
10.00 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000118 
10.00 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00003293 
10.00 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00036242 
10.00 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00458486 
10.00 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00004855 
10.00 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00040924 
10.00 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00193183 
10.00 , 0.9 , 1.0 , 5778 , 4.4387 , -0.01042807 
0.05 , 0.3 , 0.2 , 8550 , 4.1333 , 0.00002373 
0.05 , 0.5 , 0.2 , 8550 , 4.1333 , 0.00017658 
0.05 , 0.7 , 0.2 , 8550 , 4.1333 , 0.00064649 
0.05 , 0.9 , 0.2 , 8550 , 4.1333 , 0.00141566 
0.05 , 0.3 , 0.4 , 8550 , 4.1333 , 0.00002217 
0.05 , 0.5 , 0.4 , 8550 , 4.1333 , 0.00015877 
0.05 , 0.7 , 0.4 , 8550 , 4.1333 , 0.00054340 
0.05 , 0.9 , 0.4 , 8550 , 4.1333 , 0.00075565 
0.05 , 0.3 , 0.6 , 8550 , 4.1333 , 0.00001335 
0.05 , 0.5 , 0.6 , 8550 , 4.1333 , 0.00008481 
0.05 , 0.7 , 0.6 , 8550 , 4.1333 , 0.00021855 
0.05 , 0.9 , 0.6 , 8550 , 4.1333 , -0.00061024 
0.05 , 0.3 , 0.8 , 8550 , 4.1333 , -0.00000040 
0.05 , 0.5 , 0.8 , 8550 , 4.1333 , -0.00002679 
0.05 , 0.7 , 0.8 , 8550 , 4.1333 , -0.00025782 
0.05 , 0.9 , 0.8 , 8550 , 4.1333 , -0.00249832 
0.05 , 0.3 , 1.0 , 8550 , 4.1333 , -0.00001801 
0.05 , 0.5 , 1.0 , 8550 , 4.1333 , -0.00016754 
0.05 , 0.7 , 1.0 , 8550 , 4.1333 , -0.00085453 
0.05 , 0.9 , 1.0 , 8550 , 4.1333 , -0.00484452 
0.10 , 0.3 , 0.2 , 8550 , 4.1333 , 0.00003363 
0.10 , 0.5 , 0.2 , 8550 , 4.1333 , 0.00025069 
0.10 , 0.7 , 0.2 , 8550 , 4.1333 , 0.00091023 
0.10 , 0.9 , 0.2 , 8550 , 4.1333 , 0.00197557 
0.10 , 0.3 , 0.4 , 8550 , 4.1333 , 0.00003147 
0.10 , 0.5 , 0.4 , 8550 , 4.1333 , 0.00022641 
0.10 , 0.7 , 0.4 , 8550 , 4.1333 , 0.00077004 
0.10 , 0.9 , 0.4 , 8550 , 4.1333 , 0.00111597 
0.10 , 0.3 , 0.6 , 8550 , 4.1333 , 0.00001896 
0.10 , 0.5 , 0.6 , 8550 , 4.1333 , 0.00012248 
0.10 , 0.7 , 0.6 , 8550 , 4.1333 , 0.00031675 
0.10 , 0.9 , 0.6 , 8550 , 4.1333 , -0.00070954 
0.10 , 0.3 , 0.8 , 8550 , 4.1333 , -0.00000054 
